Level;Exp;Total Exp;
1;0;0;
2;10;10;
3;12;22;
4;15;37;
5;20;57;
6;27;84;
7;40;124;
8;59;183;
9;88;271;
10;125;396;
11;168;564;
12;227;791;
13;298;1089;
14;381;1470;
15;482;1952;
16;591;2543;
17;728;3271;
18;885;4156;
19;1064;5220;
20;1261;6481;
21;1488;7969;
22;1739;9708;
23;2016;11724;
24;2327;14051;
25;2674;16725;
26;3047;19772;
27;3456;23228;
28;3899;27127;
29;4378;31505;
30;4899;36404;
31;3899;40303;
32;4378;44681;
33;4899;49580;
34;5468;55048;
35;6075;61123;
36;4899;66022;
37;5468;71490;
38;6075;77565;
39;6722;84287;
40;7413;91700;
41;6075;97775;
42;6722;104497;
43;7413;111910;
44;8156;120066;
45;8953;129019;
46;7413;136432;
47;7413;143845;
48;7413;151258;
49;7413;158671;
50;7413;166084;
51;8156;174240;
52;8156;182396;
53;8156;190552;
54;8156;198708;
55;8156;206864;
56;8953;215817;
57;8953;224770;
58;8953;233723;
59;8953;242676;
60;8953;251629;















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































